"Episode","Title","Guest","Quote","Link","Time","MP3","Spotify","Overcast"
"318","One-Person Businesses That Make $1M+ Per Year (#318)","Elaine Pofeldt","","https://tim.blog/2018/06/07/one-person-businesses-that-make-1m-per-year/","","https://rss.art19.com/episodes/74298cdd-d63c-4f45-8e3b-804db9dd09d5.mp3","",""
"317","Steve Jurvetson — The Midas Touch and Mind-Bending Futures (#317)","Steve Jurvetson","Celebrate the child-like mind","https://tim.blog/2018/05/31/steve-jurvetson/","2:07:11","https://rss.art19.com/episodes/66c69066-e7a1-4f69-9313-f6c89b6a443e.mp3","",""
"316","Whitney Wolfe Herd — Founder and CEO of Bumble (#316)","Whitney Wolfe Herd","Be the CEO your parents always wanted you to marry.","https://tim.blog/2018/05/25/whitney-wolfe-herd/","1:08:34","https://rss.art19.com/episodes/0b19c53b-f57e-4e26-b6aa-d972c2f9f7ca.mp3","",""
"315","Lessons Learned Traveling The World (#315)","","","https://tim.blog/2018/05/17/lessons-learned-traveling-the-world/","","https://rss.art19.com/episodes/477a1691-0cd7-4465-a0dd-b4395ca37644.mp3","",""
"314","Cindy Eckert — How to Sell Your Company For One Billion Dollars (#314)","Cindy Whitehead","Fuck the Unicorn, Be the Workhorse.","https://tim.blog/2018/05/10/cindy-whitehead/","2:02:09","https://rss.art19.com/episodes/f8eb0cb5-faab-4d89-a524-499c21e7fb69.mp3","",""
"313","Michael Pollan — Exploring The New Science of Psychedelics (#313)","Michael Pollan","","https://tim.blog/2018/05/06/michael-pollan-how-to-change-your-mind/","","https://rss.art19.com/episodes/6aaa228b-ed2c-4f7a-8af1-4802988fdaba.mp3","",""
"312","Joseph Gordon-Levitt — Actor, Filmmaker, and Entrepreneur (#312)","Joseph Gordon Levitt","","https://tim.blog/2018/05/03/joseph-gordon-levitt/","","https://rss.art19.com/episodes/19d603ed-2b56-48b4-b612-28d3e52b43e7.mp3","",""
"311","Nick Thompson — Editor-In-Chief of WIRED (#311)","Nick Thompson","Do something small that’s right.","https://tim.blog/2018/04/27/nick-thompson-editor-in-chief-of-wired/","1:34:09","https://rss.art19.com/episodes/7ddb6052-12b5-4aaf-89e1-997b12562885.mp3","",""
"310","Hurry Up and Fail — Tim Kennedy (#310)","Tim Kennedy","Earn it. Go work for it. ","https://tim.blog/2018/04/22/tim-kennedy/","1:20:08","https://rss.art19.com/episodes/c426f558-ad4e-428d-8677-65fd71c70b73.mp3","",""
"309","Astro Teller, CEO of X – How to Think 10x Bigger (#309)","Astro Teller","","https://tim.blog/2018/04/18/how-to-think-10x-bigger/","","https://rss.art19.com/episodes/efc9c4a0-937e-4124-9f4b-33484e4e45d9.mp3","",""
"308","Inside Out with Katie Couric (#308)","Katie Couric","If you don’t vote, you can’t complain.","https://tim.blog/2018/04/11/katie-couric/","1:05:05","https://rss.art19.com/episodes/f1c8723d-1002-4596-8abb-39ac494524c0.mp3","",""
"307","Karlie Kloss – Entrepreneur and Supermodel (#307)","Karlie Kloss","Did you give it your best?","https://tim.blog/2018/04/04/karlie-kloss/","1:04:32","https://rss.art19.com/episodes/180061cc-2705-4e32-8d2b-30a8125291e0.mp3","",""
"306","Discipline, Sex, Psychedelics, and More — The Return of Drunk Dialing (#306)","Tim Ferriss","","https://tim.blog/2018/03/29/discipline-sex-psychedelics-and-more-the-return-of-drunk-dialing/","","https://rss.art19.com/episodes/d93a35f0-e171-4a92-887b-35cee645f835.mp3","",""
"305","Daniel Pink — How to Make Better Decisions and Be More Creative (#305)","Daniel Pink","","https://tim.blog/2018/03/25/daniel-pink/","","https://rss.art19.com/episodes/b4d37895-5377-4bc4-95a5-67e9f51c3159.mp3","",""
"304","How to Prioritize Your Life and Make Time for What Matters (#304)","Debbie Millman","Busy is a decision.","https://tim.blog/2018/03/21/how-to-prioritize-your-life-and-make-time-for-what-matters/","13:38","https://rss.art19.com/episodes/4b3d1c5c-912a-4547-aeb4-48e770f30dd3.mp3","",""
"303","How to Do Crazy Good Turns — Frank Blake (#303)","Frank Blake","The only blessings you own are the ones you share.","https://tim.blog/2018/03/15/frank-blake/","1:44:57","https://rss.art19.com/episodes/fca950ee-8c1b-4aab-b230-7983c8fcbd7a.mp3","",""
"302","Own the Day, Own Your Life – Aubrey Marcus (#302)","Aubrey Marcus","Welcome to heaven, population everyone.","https://tim.blog/2018/03/12/aubrey-marcus/","1:01:27","https://rss.art19.com/episodes/e3583478-ff98-48e4-9d71-5a33b3c6d359.mp3","",""
"301","Joe Gebbia — Co-Founder of Airbnb (#301)","Joe Gebbia","","https://tim.blog/2018/03/08/joe-gebbia-co-founder-of-airbnb/","","https://rss.art19.com/episodes/11e79eb4-52eb-4b06-b114-23ac7961924d.mp3","",""
"300","Jack Kornfield – Finding Freedom, Love, and Joy in the Present (#300)","Jack Kornfield","How could I love myself and this world better?","https://tim.blog/2018/03/05/jack-kornfield/","2:49:05","https://rss.art19.com/episodes/f6381ff7-2f63-46c0-a888-052337df33f5.mp3","",""
"299","How to Secure Financial Freedom, Maximize Productivity, and Protect Your Health (#299)","Tim Ferriss","","https://tim.blog/2018/02/28/how-to-secure-financial-freedom-maximize-productivity-and-protect-your-health/","","https://rss.art19.com/episodes/61dc128f-e1ad-4891-8733-adf59789951a.mp3","",""
"298","Dr. Gabor Maté — New Paradigms, Ayahuasca, and Redefining Addiction (#298)","Gabor Mate","","https://tim.blog/2018/02/20/gabor-mate/","","https://rss.art19.com/episodes/a0c1eace-43ca-4a95-8076-0f33ab872641.mp3","",""
"297","Bob Metcalfe — The Man (and Lessons) Behind Ethernet, Metcalfe’s Law, and More (#297)","Bob Metcalfe","","https://tim.blog/2018/02/14/bob-metcalfe/","","https://rss.art19.com/episodes/2038d7c8-6170-4c27-835b-59ccaefa635a.mp3","",""
"296","How to Build Popular Podcasts and Blogs (#296)","Tim Ferriss","","https://tim.blog/2018/02/10/how-to-build-popular-podcasts-and-blogs/","","https://rss.art19.com/episodes/8c8d3593-b42b-41bf-9f00-4f90f1465b75.mp3","",""
"295","The 4-Hour Workweek Revisited (#295)","Tim Ferriss","","https://tim.blog/2018/02/02/the-4-hour-workweek-revisited/","","https://rss.art19.com/episodes/e0dafc3d-329b-4683-892f-578411090845.mp3","",""
"294","Best Investments, Bad Advice to Avoid, and Other Life Lessons (#294)","Adam Robinson","","https://tim.blog/2018/01/26/best-investments-bad-advice-to-avoid-and-other-life-lessons/","","https://rss.art19.com/episodes/aca07cd4-ffea-4975-825e-daf00953ed27.mp3","",""
"293","Catherine Hoke — The Master of Second Chances (#293)","Catherine Hoke","Forgive yourself. You’re just human.","https://tim.blog/2018/01/21/catherine-hoke/","1:46:35","https://rss.art19.com/episodes/da5e12e0-b238-46fe-b407-7a75de5b1853.mp3","",""
"292","Lessons and Warnings From Successful Risk Takers (#292)","Graham Duncan","If you can conceive of it, it’s probably wrong.","https://tim.blog/2018/01/18/lessons-and-warnings-from-successful-risk-takers/","45:43","https://rss.art19.com/episodes/a5fe1e27-0fc8-4134-a007-6bd2a1c4c988.mp3","",""
"291","How The Best Overcome Fear (#291)","Caroline Paul","","https://tim.blog/2018/01/14/how-the-best-overcome-fear/","","https://rss.art19.com/episodes/79ea7ade-64c2-4e24-be74-cf825cdd5847.mp3","",""
